Абсолютный путь;Относительный путь;Класс
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0000.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0000.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0001.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0001.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0002.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0002.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0003.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0003.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0004.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0004.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0005.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0005.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0006.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0006.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0007.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0007.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0008.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0008.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0009.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0009.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0010.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0010.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0011.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0011.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0012.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0012.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0013.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0013.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0014.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0014.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0015.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0015.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0016.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0016.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0017.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0017.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0018.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0018.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0019.jpg;..\..\lab2 py\lab2-py\dataset\changed_dataset\rose_0019.jpg;rose
