Абсолютный путь;Относительный путь;Класс
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0000.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\5603.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0001.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8745.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0002.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8470.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0003.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\7503.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0004.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\6689.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0005.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9316.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0006.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\6085.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0007.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\2902.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0008.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0340.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0009.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\3289.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0010.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\5975.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0011.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\7896.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0012.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9597.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0013.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\4933.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0014.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9964.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0015.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\2965.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0016.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0398.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0017.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9744.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0018.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\7637.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0019.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\1137.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0020.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8482.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0021.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8532.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0022.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\2962.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0023.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8361.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0024.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9032.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0025.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\1365.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0026.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8311.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0027.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\2357.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0028.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9712.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0029.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\7907.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0030.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\5228.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0031.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9790.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0032.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0677.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0033.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0145.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0034.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\3568.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0035.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\4333.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0036.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0039.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0037.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\2729.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0038.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8016.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0039.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\5609.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0040.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0920.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0041.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9796.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0042.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\9387.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0043.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\8323.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0044.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\4913.jpg;rose
C:\Users\dstep\OneDrive\Рабочий стол\lab2 py\lab2-py\dataset\rose\0045.jpg;..\..\lab2 py\lab2-py\dataset\random_dataset\0980.jpg;rose
